run_ID,segment_name,starttime,endtime,text
2,the-tribe,3:00,3:07,um but that was basically the scene she was crying on his lap um about Gio um and everything like that
2,big-al_pizza,3:07,3:24,the commercial that aired after that I believe was about the owl pizza so the joke in that commercial was uh like they called for pizza but like he mis-said it and the owl came in um and then at the end of the commercial you're like it's not big owl it's big owl pizza
2,Fillmore,3:24,3:39,um and then after that there was another Fillmore clip and the Fillmore clip was basically like them again trying to get down and try to solve like whoever took this pet or whatever and come to find out at during the interview that um
2,Fillmore,3:39,3:56,um the 'cause it's like this girl and they're dance partners and he was basically hanging around with a C crew kind of like just like faux kind of like gambling with like these different kind of like pets and he gave their basically their entire stash for that
2,Fillmore,3:56,4:08,you know that being a part of that and so then the dance partner was outraged he holds kind of like a press conference to say like that one of you auditions for a new dance partner because of what he did
2,cecil_mitsubishi,4:08,4:20,and I believe after that it was like um it was like a it showed the Mitsubishi car dealership um and he was just basically saying how he felt um new cars everything like that
2,the-tribe,4:20,4:47,um and then the last clip that I remember it was coming back from that show about the only kids are left and you see a girl like with a baby calf and then you see her in a office I guess reminiscing about her parents because you see them in the frame like her family and then old stuff on a calendar that they had like written um like all the events and stuff like that coming up um and that's what I remember from this
3,popular,0:01,0:16,um so starting from the last clip in the last clip it was from the show popular um and basically it was like the internal thoughts of one of the girls the girl's birthday the brunette girl
3,popular,0:16,0:27,um she was like inviting the popular girls in um and basically she was saying things like don't have birthday cake like I wish I was skinnier things like that
3,henry_beer,0:27,0:44,um and then in the commercial paired to that it was basically a beer commercial and it was like guys on the beach and stuff like that and they tossed a beach ball and stuff like that and it was a cloudy day um and one of the guys said like you know the hotties are coming 'cause I think someone wanted to leave from that 
3,Panam,0:44,1:16,uh going back to the first clip that I saw was from the show Panam like about the Panam stewardess um take um basically like she met with a guy and he's like a CIA agent and that was kind of like their first encounter they met in it looked like a restaurant or a bar um and he was basically telling her that she perfect for being like undercover because she's trilingual um you know she's beautiful can fly under the radar um but also be able to do the things for the government
3,village-inn_restaurant,1:20,1:36,and the commercial that was paired with that was the one about like it was like a family buffet and it was like a a girl like a little girl basically saying that when she grows up that she and and then you show shots of like the buffet and like the different foods there and it's like southern cuisine 
3,Panam,1:36,2:01,the next clip was also I believe from the show about the the Panam stewardess and it was basically like her first assignment and it's her it's him buying it's him at the counter buying a magazine that has the Panam stewardess featured and he basically gives her the instructions of like she needs to slip into like someone's bag and different things like that I can't remember the commercial that was paired with that one
3,popular,2:01,2:15,then you had another clip from the show popular and it was basically um someone on one of the girl's lockers wrote um like lapdog or you're my lap dog or something like that um and she was trying to figure out who did that 
3,cie_fragrance,2:15,2:34,um and the one paired with that one was basically like I believe it was for a perfume 'cause it showed like photographs of like a woman in different scenarios um and yeah I believe it was a perfume commercial I believe the name of the perfume was CIM or something like that um but yeah that's what I remember from this set
